N,Triton,Torch
256.000000,127.170496,160.495981
384.000000,176.780087,246.593770
512.000000,232.445970,293.197895
640.000000,271.698495,336.956858
768.000000,288.992761,379.367058
896.000000,302.637493,430.994885
1024.000000,325.116466,448.591619
1152.000000,365.927506,500.561396
1280.000000,412.663939,518.923706
1408.000000,449.881880,528.207635
1536.000000,499.201199,542.037334
1664.000000,541.034779,560.373267
1792.000000,589.578400,593.562683
1920.000000,621.235373,606.881637
2048.000000,648.830754,602.526551
2176.000000,710.441777,630.760155
2304.000000,749.700471,636.264211
2432.000000,797.568189,653.106756
2560.000000,832.397668,669.014971
2688.000000,855.715752,678.738062
2816.000000,891.564549,674.341530
2944.000000,938.235598,686.391039
3072.000000,971.777161,710.247351
3200.000000,1050.303728,700.113292
3328.000000,1076.732162,712.242194
3456.000000,1116.676041,716.455734
3584.000000,1152.169593,729.989474
3712.000000,1207.498070,746.684271
3840.000000,1248.129370,747.711706
3968.000000,1280.732622,753.850659
4096.000000,1300.870716,772.513509
4224.000000,1374.986253,781.081538
4352.000000,1371.824919,788.679482
4480.000000,1377.040722,794.439190
4608.000000,1507.466361,791.198574
4736.000000,1549.975618,796.030611
4864.000000,1546.728191,816.162658
4992.000000,1595.048213,808.745805
5120.000000,1617.070451,827.025875
5248.000000,1711.631476,816.337977
5376.000000,1734.050022,835.029123
5504.000000,1723.581933,835.567758
5632.000000,1801.013351,830.367860
5760.000000,1882.037118,843.008647
5888.000000,1919.418581,840.728097
6016.000000,1892.955190,843.664801
6144.000000,1997.349171,848.367438
6272.000000,1976.276278,851.897007
6400.000000,2067.840114,860.297054
6528.000000,2054.238123,864.971545
6656.000000,2097.134297,871.073078
6784.000000,2175.983370,871.450773
6912.000000,2180.661931,886.099651
7040.000000,2232.237157,879.901227
7168.000000,2242.871872,880.279648
7296.000000,2313.349938,887.202256
7424.000000,2406.942072,888.005556
7552.000000,2430.772944,889.788550
7680.000000,2530.677943,895.540770
7808.000000,2470.996221,899.832055
7936.000000,2532.657434,902.776461
8064.000000,2621.121203,907.275871
8192.000000,2683.451279,909.122552
8320.000000,2713.508800,921.240662
8448.000000,2684.742345,914.536691
8576.000000,2719.176129,927.646481
8704.000000,2709.038965,922.260193
8832.000000,2875.237164,932.859496
8960.000000,2817.228920,928.112549
9088.000000,2942.210110,929.546064
9216.000000,2895.315545,933.609239
9344.000000,2952.186217,943.225940
9472.000000,3077.112285,936.054162
9600.000000,3010.146928,949.196945
9728.000000,3217.811277,942.293030
9856.000000,3088.383091,954.589740
9984.000000,3224.917944,959.193346
10112.000000,3209.719415,951.483341
10240.000000,3347.743933,953.893178
10368.000000,3241.491882,954.070089
10496.000000,3400.460340,958.663403
10624.000000,3347.925710,968.450933
10752.000000,3368.542274,971.292282
10880.000000,3447.048489,973.746603
11008.000000,2985.155510,976.001453
11136.000000,3652.201649,978.795401
11264.000000,3523.881156,970.033447
11392.000000,3695.790132,980.512413
11520.000000,3620.388503,973.575281
11648.000000,3669.071739,983.798904
11776.000000,3863.426412,979.368911
11904.000000,3759.772344,988.546008
12032.000000,3856.136386,990.975913
12160.000000,3829.919472,983.633870
12288.000000,4023.333445,994.496050
12416.000000,4051.028985,994.732713
12544.000000,3733.561037,998.289852
12672.000000,4085.963633,999.430384
