N,Triton,Torch
256.000000,137.911701,152.502275
384.000000,201.040332,234.059435
512.000000,259.456346,291.191333
640.000000,312.939391,354.523991
768.000000,355.056425,383.645785
896.000000,386.201470,430.573631
1024.000000,394.560305,472.133915
1152.000000,459.475620,499.167409
1280.000000,534.155465,507.904725
1408.000000,495.361220,543.080432
1536.000000,629.626163,544.445438
1664.000000,664.959904,559.072496
1792.000000,746.294163,575.190337
1920.000000,773.719742,602.485679
2048.000000,820.610899,603.984443
2176.000000,875.319951,634.056481
2304.000000,953.527033,629.103495
2432.000000,970.253627,654.216076
2560.000000,1022.013070,672.049716
2688.000000,1004.981816,661.554780
2816.000000,1141.005527,690.671995
2944.000000,1190.006082,698.523166
3072.000000,1277.736036,697.109819
3200.000000,1305.856005,705.346095
3328.000000,1358.933722,712.677298
3456.000000,1426.111348,718.929503
3584.000000,1439.966259,729.745588
3712.000000,1486.987350,749.165028
3840.000000,1552.249091,759.101848
3968.000000,1604.473531,756.030259
4096.000000,1698.609247,773.316329
4224.000000,1681.898544,768.832384
4352.000000,1700.158551,766.488145
4480.000000,1783.847247,794.098477
4608.000000,1825.534569,789.240350
4736.000000,1976.530626,794.671018
4864.000000,2010.885343,814.461270
4992.000000,2041.035365,807.276442
5120.000000,2026.279431,827.424557
5248.000000,2077.829246,820.465900
5376.000000,2151.640077,835.066477
5504.000000,2280.285000,836.592386
5632.000000,2338.690529,842.930042
5760.000000,2290.487923,843.044989
5888.000000,2201.428491,850.935408
6016.000000,2408.624291,845.022882
6144.000000,2475.166774,861.187822
6272.000000,2493.832895,854.479040
6400.000000,2649.621808,857.316834
6528.000000,2668.528425,874.203572
6656.000000,2497.589363,882.904389
6784.000000,2002.887124,870.564767
6912.000000,2840.362996,886.776926
7040.000000,2896.164905,880.249615
7168.000000,2953.436716,892.647739
7296.000000,2893.889590,897.796349
7424.000000,3110.458443,899.694712
7552.000000,3154.109405,901.022280
7680.000000,3096.635070,895.940613
7808.000000,3254.440868,899.431820
7936.000000,3112.842895,913.997567
8064.000000,3336.680171,907.121916
8192.000000,3286.068021,910.083766
8320.000000,2307.499982,923.116495
8448.000000,3447.651111,912.966909
8576.000000,3412.630494,934.410701
8704.000000,3585.902190,923.453485
8832.000000,3529.224721,923.529182
8960.000000,3595.962987,927.390868
9088.000000,3629.679532,939.609772
9216.000000,3677.296851,942.749799
9344.000000,3702.670967,945.829590
9472.000000,3944.846854,936.314342
9600.000000,3799.948220,940.741507
9728.000000,3897.342877,942.397203
9856.000000,4088.371776,954.521169
9984.000000,3988.868418,958.792966
10112.000000,4141.528812,950.711975
10240.000000,4229.466007,953.254763
10368.000000,4210.636098,958.286382
10496.000000,4350.056104,956.282330
10624.000000,4375.300322,958.990436
10752.000000,4411.154102,963.674480
10880.000000,4509.607621,964.602218
11008.000000,2798.583234,967.626014
11136.000000,4450.443944,968.953202
11264.000000,3777.828706,971.103507
11392.000000,4545.028478,980.310779
11520.000000,4724.243674,984.453809
11648.000000,4880.525126,976.854221
11776.000000,4876.454285,978.736143
11904.000000,4773.159989,980.680187
12032.000000,4930.386404,980.974274
12160.000000,4985.694104,985.100458
12288.000000,4965.230598,988.175880
12416.000000,5148.037025,997.377401
12544.000000,4983.036124,988.670850
12672.000000,5193.224339,990.612260
